,18-29,30-44,above45,under18
Crime,7.75,7.25,7.25,7.75
Family,7.559322033898305,7.11864406779661,7.067796610169491,7.711864406779661
Horror,7.588235294117647,7.117647058823529,7.0588235294117645,7.705882352941177
Comedy,7.542857142857143,7.171428571428572,7.057142857142857,7.6571428571428575
Romance,7.428571428571429,7.142857142857143,7.0476190476190474,7.619047619047619
Action,7.416666666666667,7.0,7.0,7.666666666666667
Animation,7.75,7.0,7.0,7.75
History,7.516129032258065,7.258064516129032,7.032258064516129,7.741935483870968
Drama,7.4,7.3,7.1,7.4
Thriller,7.538461538461538,7.076923076923077,7.0,7.6923076923076925
Western,7.705882352941177,7.294117647058823,7.0588235294117645,7.823529411764706
Biography,7.333333333333333,7.333333333333333,7.0,8.0
Sci-Fi,7.5,7.5,7.5,7.5
War,7.7,7.3,7.1,7.7
Adventure,7.666666666666667,7.166666666666667,7.0,7.833333333333333
Music,7.0,7.0,7.0,7.5
Fantasy,7.0,7.0,7.0,7.0
Mystery,7.0,7.0,7.0,7.0
Sport,8.0,8.0,8.0,9.0
