,budget,genre,imdb_score,index,movie_title
0,100000000.0,Western,8.5,0,Django Unchained
1,38000000.0,Western,7.7,1,True Grit
2,165000000.0,Animation,7.9,2,Big Hero 6
3,69000000.0,Animation,7.7,3,Despicable Me
4,145000000.0,Animation,7.9,4,How to Train Your Dragon 2
5,165000000.0,Animation,8.2,5,How to Train Your Dragon
6,175000000.0,Animation,8.3,6,Inside Out
7,260000000.0,Animation,7.8,7,Tangled
8,60000000.0,Animation,7.8,8,The Lego Movie
9,81200000.0,Animation,7.8,9,The Little Prince
10,200000000.0,Animation,8.3,10,Toy Story 3
11,165000000.0,Animation,7.8,11,Wreck-It Ralph
12,15000000.0,Mystery,7.7,12,Ex Machina
13,61000000.0,Mystery,8.1,13,Gone Girl
14,46000000.0,Mystery,8.1,14,Prisoners
15,80000000.0,Mystery,8.1,15,Shutter Island
16,90000000.0,Mystery,7.8,16,The Girl with the Dragon Tattoo
17,130000000.0,Mystery,7.6,17,The Hunger Games: Catching Fire
18,,Horror,7.6,18,Tucker and Dale vs Evil
19,170000000.0,Family,7.5,19,Hugo
20,8000000.0,Comedy,7.7,20,50/50
21,12000000.0,Comedy,7.8,21,About Time
22,18000000.0,Comedy,7.8,22,Birdman or (The Unexpected Virtue of Ignorance)
23,58000000.0,Comedy,8.1,23,Deadpool
24,69000000.0,Comedy,7.7,24,Despicable Me
25,14000000.0,Comedy,7.7,25,Flipped
26,175000000.0,Comedy,8.3,26,Inside Out
27,30000000.0,Comedy,7.7,27,Kick-Ass
28,17000000.0,Comedy,7.7,28,Midnight in Paris
29,16000000.0,Comedy,7.8,29,Moonrise Kingdom
30,12000000.0,Comedy,7.8,30,Nebraska
31,60000000.0,Comedy,7.5,31,Scott Pilgrim vs. the World
32,21000000.0,Comedy,7.8,32,Silver Linings Playbook
33,260000000.0,Comedy,7.8,33,Tangled
34,15000000.0,Comedy,8.0,34,The Artist
35,28000000.0,Comedy,7.8,35,The Big Short
36,25000000.0,Comedy,8.1,36,The Grand Budapest Hotel
37,100000000.0,Comedy,8.2,37,The Wolf of Wall Street
38,200000000.0,Comedy,8.3,38,Toy Story 3
39,,Comedy,7.6,39,Tucker and Dale vs Evil
40,165000000.0,Comedy,7.8,40,Wreck-It Ralph
41,15000000.0,Crime,7.8,41,Drive
42,7000000.0,Crime,7.7,42,End of Watch
43,61000000.0,Crime,8.1,43,Gone Girl
44,8500000.0,Crime,7.9,44,Nightcrawler
45,46000000.0,Crime,8.1,45,Prisoners
46,30000000.0,Crime,7.6,46,Sicario
47,20000000.0,Crime,8.1,47,Spotlight
48,90000000.0,Crime,7.8,48,The Girl with the Dragon Tattoo
49,37000000.0,Crime,7.6,49,The Town
50,100000000.0,Crime,8.2,50,The Wolf of Wall Street
51,12000000.0,Fantasy,7.8,51,About Time
52,17000000.0,Fantasy,7.7,52,Midnight in Paris
53,180000000.0,Fantasy,7.9,53,The Hobbit: An Unexpected Journey
54,225000000.0,Fantasy,7.9,54,The Hobbit: The Desolation of Smaug
55,13000000.0,Thriller,8.0,55,Black Swan
56,40000000.0,Thriller,7.6,56,Bridge of Spies
57,55000000.0,Thriller,7.9,57,Captain Phillips
58,7000000.0,Thriller,7.7,58,End of Watch
59,100000000.0,Thriller,7.8,59,Gravity
60,8500000.0,Thriller,7.9,60,Nightcrawler
61,80000000.0,Thriller,8.1,61,Shutter Island
62,200000000.0,Thriller,7.8,62,Skyfall
63,200000000.0,Thriller,7.8,63,Skyfall
64,250000000.0,Thriller,8.5,64,The Dark Knight Rises
65,14000000.0,Thriller,8.1,65,The Imitation Game
66,135000000.0,Thriller,8.1,66,The Revenant
67,37000000.0,Thriller,7.6,67,The Town
68,35000000.0,Sport,7.7,68,Creed
69,50000000.0,Sport,7.6,69,Moneyball
70,25000000.0,Sport,8.2,70,Warrior
71,20000000.0,History,8.1,71,12 Years a Slave
72,40000000.0,History,7.6,72,Bridge of Spies
73,20000000.0,History,8.1,73,Spotlight
74,28000000.0,History,7.9,74,Straight Outta Compton
75,8000000.0,Romance,7.7,75,50/50
76,8900000.0,Romance,7.9,76,Amour
77,3000000.0,Romance,7.9,77,Before Midnight
78,14000000.0,Romance,7.7,78,Flipped
79,23000000.0,Romance,8.0,79,Her
80,17000000.0,Romance,7.7,80,Midnight in Paris
81,60000000.0,Romance,7.5,81,Scott Pilgrim vs. the World
82,21000000.0,Romance,7.8,82,Silver Linings Playbook
83,15000000.0,Romance,8.0,83,The Artist
84,12000000.0,Romance,7.8,84,The Fault in Our Stars
85,13000000.0,Romance,8.0,85,The Perks of Being a Wallflower
86,15000000.0,Romance,7.7,86,The Theory of Everything
87,250000000.0,Sci-Fi,8.2,87,Captain America: Civil War
88,170000000.0,Sci-Fi,7.8,88,Captain America: The Winter Soldier
89,178000000.0,Sci-Fi,7.9,89,Edge of Tomorrow
90,15000000.0,Sci-Fi,7.7,90,Ex Machina
91,100000000.0,Sci-Fi,7.8,91,Gravity
92,170000000.0,Sci-Fi,8.1,92,Guardians of the Galaxy
93,23000000.0,Sci-Fi,8.0,93,Her
94,160000000.0,Sci-Fi,8.8,94,Inception
95,165000000.0,Sci-Fi,8.6,95,Interstellar
96,150000000.0,Sci-Fi,8.1,96,Mad Max: Fury Road
97,93000000.0,Sci-Fi,7.6,97,Rise of the Planet of the Apes
98,190000000.0,Sci-Fi,7.8,98,Star Trek Into Darkness
99,220000000.0,Sci-Fi,8.1,99,The Avengers
100,220000000.0,Sci-Fi,8.1,100,The Avengers
101,108000000.0,Sci-Fi,8.1,101,The Martian
102,200000000.0,Sci-Fi,8.0,102,X-Men: Days of Future Past
103,160000000.0,Sci-Fi,7.8,103,X-Men: First Class
104,68000000.0,War,7.6,104,Fury
105,19000000.0,War,7.6,105,The Book Thief
106,20000000.0,Drama,8.1,106,12 Years a Slave
107,18000000.0,Drama,7.6,107,127 Hours
108,8000000.0,Drama,7.7,108,50/50
109,12000000.0,Drama,7.8,109,About Time
110,8900000.0,Drama,7.9,110,Amour
111,44500000.0,Drama,7.7,111,Argo
112,3000000.0,Drama,7.9,112,Before Midnight
113,18000000.0,Drama,7.8,113,Birdman or (The Unexpected Virtue of Ignorance)
114,13000000.0,Drama,8.0,114,Black Swan
115,4000000.0,Drama,8.0,115,Boyhood
116,40000000.0,Drama,7.6,116,Bridge of Spies
117,55000000.0,Drama,7.9,117,Captain Phillips
118,35000000.0,Drama,7.7,118,Creed
119,5000000.0,Drama,8.0,119,Dallas Buyers Club
