,movie_title,avg_rating,total_votes,genre1,genre2,genre3,#_10s,#_9s,#_8s,#_7s,#_6s,#_5s,#_4s,#_3s,#_2s,#_1s,#_male_votes,#_female_votes,#_u18,#_u18m,#_u18f,#_18-29,#_18-29m,#_18-29f,#_30-44,#_30-44m,#_30-44f,#_a45,#_a45m,#_a45f,#_votes_top1000users,#_votes_inUS,#_votes_notUS,avgr_male,avgr_female,avgr_u18,avgr_u18m,avgr_u18f,avgr_18-29,avgr_18-29m,avgr_18-29f,avgr_30-44,avgr_30-44m,avgr_30-44f,avgr_a45,avgr_a45m,avgr_a45f,avgr_imdbstaff,avgr_top1000users,avgr_US_users,avgr_notUD_users,director_name,actor_2_name,gross,actor_1_name,#_voted_users,actor_3_name,language,country,budget,title_year,imdb_score
0,12 Years a Slave,8.1,"496,092",Biography,Drama,History,75556,126223,161460,83070,27231,9603,4021,2420,1785,4739,313823,82012,1837,1363,457,200910,153669,45301,138762,112943,23895,29252,23072,5726,664,53328,224519.0,8.1,8.1,8.4,8.4,8.5,8.2,8.2,8.2,8.0,7.9,8.0,7.8,7.8,8.1,8.0,7.7,8.3,8.0,Steve McQueen,Scoot McNairy,56667870.0,Quvenzhané Wallis,439176,Taran Killam,English,USA,20000000.0,2013.0,8.1
1,127 Hours,7.6,"297,075",Adventure,Biography,Drama,28939,44110,98845,78451,28394,9403,3796,1930,1161,2059,212866,44600,745,567,170,133336,106007,26152,102120,86609,14304,14895,12400,2261,649,38478,169745.0,7.6,7.6,7.9,7.9,7.9,7.7,7.8,7.7,7.5,7.5,7.5,7.3,7.3,7.5,7.6,7.0,7.7,7.6,Danny Boyle,Treat Williams,18329466.0,James Franco,279179,Kate Burton,English,USA,18000000.0,2010.0,7.6
2,50/50,7.7,"283,935",Comedy,Drama,Romance,28304,47501,99524,71485,24252,7545,2381,1109,634,1202,188925,58348,506,348,153,132350,96269,34765,94745,75394,18163,12829,9912,2681,555,46947,147849.0,7.7,7.7,7.9,7.9,7.9,7.8,7.8,7.7,7.6,7.6,7.6,7.4,7.4,7.5,7.4,7.0,7.9,7.6,Jonathan Levine,Anna Kendrick,34963967.0,Joseph Gordon-Levitt,270441,Bryce Dallas Howard,English,USA,8000000.0,2011.0,7.7
3,About Time,7.8,"225,412",Comedy,Drama,Fantasy,38556,43170,70850,45487,16542,5673,2210,1084,664,1182,126718,58098,654,325,321,92940,57778,34126,67477,50212,16222,13973,10690,3026,475,20450,111670.0,7.8,7.9,8.2,8.1,8.3,8.0,8.0,8.0,7.6,7.6,7.7,7.6,7.5,7.8,7.7,6.9,7.8,7.7,Richard Curtis,Tom Hollander,15294553.0,Tom Hughes,202341,Lindsay Duncan,English,UK,12000000.0,2013.0,7.8
4,Amour,7.9,"76,121",Drama,Romance,,11093,15944,22942,14187,5945,2585,1188,710,534,995,49808,16719,121,95,24,28593,20107,8167,28691,21990,6269,7425,5803,1490,391,7959,46138.0,7.8,7.9,8.6,8.7,8.5,8.0,8.0,7.9,7.7,7.7,7.9,7.9,7.8,8.1,6.6,7.2,7.9,7.8,Michael Haneke,Emmanuelle Riva,225377.0,Isabelle Huppert,70382,Jean-Louis Trintignant,French,France,8900000.0,2012.0,7.9
5,Argo,7.7,"486,840",Action,Biography,Drama,43875,89490,171495,115165,37332,12630,4992,2910,2020,6941,334838,67910,971,795,162,178794,146371,30643,163795,136391,24948,36215,28817,6752,740,70110,229137.0,7.7,7.9,8.0,8.0,7.8,7.8,7.8,7.9,7.7,7.6,7.8,7.7,7.7,8.0,8.1,7.2,8.0,7.6,Ben Affleck,Scoot McNairy,136019448.0,Clea DuVall,452465,Tate Donovan,English,USA,44500000.0,2012.0,7.7
6,Before Midnight,7.9,"106,553",Drama,Romance,,16953,22109,31439,19251,8142,3412,1649,1033,826,1745,67076,23823,208,138,66,43312,30016,12857,37072,28401,8189,7479,5891,1470,447,12382,59116.0,7.9,7.8,8.1,8.3,7.4,8.1,8.2,7.9,7.8,7.8,7.6,7.3,7.4,7.2,8.5,7.0,8.0,7.9,Richard Linklater,Ariane Labed,8114507.0,Seamus Davey-Fitzpatrick,95362,Athina Rachel Tsangari,English,USA,3000000.0,2013.0,7.9
7,Big Hero 6,7.8,"315,485",Animation,Action,Adventure,50311,61304,103726,65681,22389,6830,2251,1036,539,1439,187383,58731,2446,1571,855,128237,91744,35122,84098,68040,14796,13974,11304,2400,525,36702,131818.0,7.7,8.2,8.2,8.0,8.7,7.9,7.8,8.3,7.7,7.6,8.0,7.6,7.6,7.9,7.9,7.2,7.9,7.7,Don Hall,Daniel Henney,222487711.0,Damon Wayans Jr.,279093,Abraham Benrubi,English,USA,165000000.0,2014.0,7.9
8,Birdman or (The Unexpected Virtue of Ignorance),7.8,"448,725",Comedy,Drama,,60209,94476,121637,80828,38373,19161,10116,6750,5378,11807,292808,63310,1891,1538,334,178850,142244,34666,129547,108049,19457,26016,21166,4329,656,52288,203731.0,7.8,7.5,8.5,8.6,7.9,8.0,8.1,7.7,7.6,7.6,7.3,7.2,7.3,7.0,7.8,7.1,7.9,7.7,Alejandro G. Iñárritu,Naomi Watts,42335698.0,Emma Stone,395087,Merritt Wever,English,USA,18000000.0,2014.0,7.8
9,Black Swan,8.0,"587,893",Drama,Thriller,,93798,136615,174500,97826,40319,16993,9084,6065,3981,8726,356707,143077,1112,583,516,244970,159567,82856,204465,156163,45352,35111,27022,7459,802,86552,306578.0,8.0,8.0,8.5,8.6,8.4,8.1,8.1,8.1,7.9,7.9,8.0,7.5,7.5,7.4,7.9,7.6,8.0,8.0,Darren Aronofsky,Mila Kunis,106952327.0,Natalie Portman,551363,Mark Margolis,English,USA,13000000.0,2010.0,8.0
