,18-29,30-44,above45,under18
Crime,7.75,7.5,7.5,7.75
Family,7.440677966101695,7.220338983050848,7.237288135593221,7.677966101694915
Horror,7.411764705882353,7.235294117647059,7.352941176470588,7.764705882352941
Comedy,7.6571428571428575,7.285714285714286,7.2,7.771428571428571
Romance,7.476190476190476,7.238095238095238,7.095238095238095,7.666666666666667
Action,7.416666666666667,7.083333333333333,7.166666666666667,7.75
Animation,7.75,7.0,7.25,7.75
History,7.548387096774194,7.290322580645161,7.225806451612903,7.774193548387097
Drama,7.8,7.5,7.2,7.8
Thriller,7.3076923076923075,7.3076923076923075,7.153846153846154,7.538461538461538
Western,7.647058823529412,7.352941176470588,7.352941176470588,7.882352941176471
Biography,7.333333333333333,7.333333333333333,7.0,7.666666666666667
Sci-Fi,7.5,7.5,7.5,7.5
War,7.3,7.1,7.1,7.6
Adventure,7.666666666666667,7.166666666666667,7.0,7.833333333333333
Music,7.5,7.0,7.5,8.0
Fantasy,7.0,7.0,7.0,7.0
Mystery,7.0,7.0,7.0,8.0
Sport,8.0,8.0,8.0,8.0
